object,condition,seed,parameter,gt,estimate,signed_error,abs_error,abs_error_percent,l2,relative_residual,regressor_condition_number,frames
hammer,E_all,6,mx,5.463067398699198e-09,-2.7032539432828245e-05,-2.7038002500226945e-05,2.7038002500226945e-05,494923.4656461482,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,my,-5.371818220316982e-09,-2.390679267756173e-05,-2.3901420859341413e-05,2.3901420859341413e-05,444940.98420796957,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,mz,0.17029925270232096,0.1634318646288743,-0.0068673880734466675,0.0068673880734466675,4.03254151998582,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,ixx,0.03294963581767361,0.05466568541875726,0.02171604960108365,0.02171604960108365,65.90679703183712,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,iyy,0.032218969073453105,-0.01826266720915795,-0.050481636282611056,0.050481636282611056,156.68296576318923,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,izz,0.0010008013920130541,-0.0007675582882455472,-0.0017683596802586013,0.0017683596802586013,176.6943665717379,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,ixy,-4.736694527039731e-12,-0.022130371333729946,-0.022130371328993252,0.022130371328993252,467211284212.2408,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,iyz,8.79648952450325e-10,0.00013963331923525128,0.00013963243958629883,0.00013963243958629883,15873654.961714294,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,6,izx,-1.0880179826158104e-09,0.01794419083402081,0.01794419192203879,0.01794419192203879,1649255086.6574285,0.06256049313274535,0.06567692272295327,254.9063614266217,600
hammer,E_all,7,mass,1.11609903217039,1.1214541318154347,0.005355099645044659,0.005355099645044659,0.47980506126154565,0.06431146575387992,0.06621504236240151,252.52540222135335,600
hammer,E_all,7,mx,5.463067398699198e-09,-5.758676762572344e-05,-5.759223069312214e-05,5.759223069312214e-05,1054210.5101400602,0.06431146575387992,0.06621504236240151,252.52540222135335,600
hammer,E_all,7,my,-5.371818220316982e-09,-2.1442527434124905e-05,-2.1437155615904587e-05,2.1437155615904587e-05,399067.03348274535,0.06431146575387992,0.06621504236240151,252.52540222135335,600
hammer,E_all,7,mz,0.17029925270232096,0.15894134833047083,-0.011357904371850136,0.011357904371850136,6.669380042262124,0.06431146575387992,0.06621504236240151,252.52540222135335,600
hammer,E_all,7,ixx,0.03294963581767361,0.05948032183920618,0.026530686021532572,0.026530686021532572,80.51890518104597,0.06431146575387992,0.06621504236240151,252.52540222135335,600
hammer,E_all,7,iyy,0.032218969073453105,-0.017473513410718813,-0.04969248248417192,0.04969248248417192,154.23362048264963,0.06431146575387992,0.06621504236240151,252.52540222135335,600
hammer,E_all,7,izz,0.0010008013920130541,-0.0010065440484269249,-0.002007345440439979,0.002007345440439979,200.5738057980035,0.06431146575387992,0.06621504236240151,252.52540222135335,600
