time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
8.516667,0.000194272940404,-0.00160612909727,-6.09977213986e-05,0.00197924142159,-0.0017717771369,-0.00487956159752,0.00589901560971,0.00669914663766,0.000745076890745,-0.00112670709172,-0.00726568832318,0.0183066566495,-0.0325285821591,-0.0166334702075,-0.00382386024669,-0.0105211059005,0.0590161888802,-0.0247425186255
8.533333,0.000288240974959,-0.00149661249724,-4.90861756289e-05,0.00195898260387,-0.00188494387398,-0.00457750210504,0.00535965477641,0.00642072105502,0.00068227567821,-0.00129924976432,-0.00629739897446,0.0178734726234,-0.0320616058528,-0.0167129128577,-0.0036983100184,-0.0101439546338,0.0569634533514,-0.0271138168765
8.550000,0.000373276631998,-0.00139175264571,-3.82051871162e-05,0.00193589734947,-0.00198223737964,-0.00428299395217,0.00482932230573,0.00614141681537,0.000621638179909,-0.00146522501581,-0.00536441376385,0.01740265831,-0.0314488884617,-0.0167389347451,-0.00356483507272,-0.00973474956874,0.0547890401564,-0.0292507515908
8.566667,0.000449550411866,-0.00129155682574,-2.83175814183e-05,0.00191009964664,-0.00206426335603,-0.00399663274531,0.00431035535114,0.0058621150596,0.000563287371483,-0.0016241190385,-0.00446864920896,0.0168981170714,-0.0307019520859,-0.0167128525473,-0.00342454734988,-0.0092960582676,0.0525067207179,-0.0311546042113
8.583333,0.000517270219012,-0.00119601780353,-1.93842845935e-05,0.00188171169984,-0.0021316575781,-0.00371894915366,0.00380489734832,0.00558367317967,0.000507327925755,-0.00177546155947,-0.00361179136502,0.0163637221202,-0.0298324709052,-0.0166361930623,-0.00327852703337,-0.00883052641223,0.0501303216199,-0.0328276981291
8.600000,0.000576678109868,-0.00110511425374,-1.13646241796e-05,0.00185086319264,-0.00218508204169,-0.00345040955576,0.003314896029,0.00530692139608,0.000453846769861,-0.00191882703272,-0.00279529547064,0.0158032994921,-0.0288522051972,-0.0165106828168,-0.00312781936569,-0.00834086434525,0.0476736569492,-0.0342733539011
8.616667,0.000628047016675,-0.00101881124038,-4.21662044216e-06,0.00181769053264,-0.00222522111494,-0.00319141696379,0.00284210252373,0.00503265951748,0.000402913693178,-0.00205383560488,-0.00202038671093,0.0152206118009,-0.0277729369135,-0.0163382366326,-0.00297343174831,-0.00782983340744,0.0451504621491,-0.0354958405211
8.633333,0.000671677465244,-0.000937060750254,2.10273291714e-06,0.00178233608224,-0.00225277771168,-0.00294231221215,0.0023880715251,0.00476165389943,0.000354582001273,-0.00218015385154,-0.00128806207006,0.0146193428363,-0.026606407113,-0.0161209452252,-0.0028163311292,-0.00730023214382,0.04257432969,-0.0365003230862
8.650000,0.000707894304051,-0.000859802275275,7.63719932047e-06,0.00174494737894,-0.00226846950456,-0.00270337539575,0.00195416247795,0.00449463461769,0.000308889211042,-0.00229749528277,-0.000599093240688,0.0140030830641,-0.0253642555388,-0.0158610619116,-0.00265744168003,-0.00675488245119,0.0399586468479,-0.037292807209
8.666667,0.000737043461519,-0.000786963440204,1.24310417888e-05,0.00170567634922,-0.00227302519529,-0.00247482754239,0.0015415417586,0.00423229287035,0.000265857782209,-0.00240562061743,4.59694474854e-05,0.0133753160783,-0.0240579626043,-0.0155609885127,-0.0024976427636,-0.00619661574046,0.0373165358689,-0.0378800805414
